price,area,status,bhk,bathroom,age,location,builder
37.49,872,1,2,2.0,1.0,Sembakkam,MP Developers
93.54,1346,0,3,2.0,0.0,Selaiyur,DAC Promoters
151.0,2225,0,3,2.0,0.0,Mogappair,Casagrand Builder Private Limited
49.0,1028,1,2,2.0,3.0,Ambattur,Other
42.28,588,0,2,1.0,0.0,Pallavaram,Radiance Realty Developers India Ltd
162.0,2221,0,3,3.0,0.0,Other,Other
38.0,885,0,3,2.0,0.0,Thirumazhisai,Other
72.99,936,1,3,2.0,6.0,Other,Other
125.0,2275,1,4,2.0,1.0,Other,Other
24.56,622,0,2,2.0,0.0,Perungalathur,Isha Homes
67.87,1305,0,3,2.0,0.0,Gerugambakkam,Other
162.0,1500,1,3,3.0,1.0,Anna Nagar,Other
162.0,2200,0,3,2.0,0.0,Other,Other
51.46,919,0,2,2.0,0.0,Pammal,Asset Tree Homes
69.47,965,0,2,2.0,0.0,Porur,Urban Tree Infrastructures
113.0,2343,1,4,4.0,5.0,Navallur,Olympia Group
18.0,353,0,1,2.0,0.0,Thirumazhisai,Other
162.0,1450,0,3,2.0,0.0,Anna Nagar,Other
100.0,1833,1,3,2.0,0.0,Sholinganallur,Appaswamy Real Estate
45.99,920,0,2,2.0,0.0,Vanagaram,VNR Homes
73.75,1405,0,3,2.0,0.0,Sholinganallur,Other
162.0,2601,0,4,2.0,0.0,T Nagar,Other
162.0,2475,0,4,2.0,0.0,Guindy,Other
80.73,1242,0,2,2.0,0.0,Madipakkam,Jones Foundations
31.96,969,1,2,2.0,1.0,Perumbakkam,Other
81.3,937,0,2,2.0,0.0,Velachery,Other
72.05,1310,0,3,2.0,0.0,Medavakkam,EK Realtors
91.36,1340,1,3,2.0,2.0,Gowrivakkam,The Nest Builder
50.76,1045,1,2,2.0,1.0,Chromepet,Doshi Housing
62.75,1004,0,2,2.0,0.0,Sholinganallur,Grandstyle constructions
57.5,920,0,2,1.0,0.0,Ambattur,Other
50.22,1005,1,2,2.0,1.0,Other,Other
22.36,713,0,2,2.0,0.0,Thandalam,Other
19.8,900,1,2,2.0,1.0,Thirumazhisai,Other
84.13,1325,0,2,2.0,0.0,Medavakkam,Krishna Constructions
58.43,1113,0,2,2.0,0.0,Ayanambakkam,AKS Housing Dedvelopment Pvt Ltd
162.0,3670,1,3,2.0,3.0,Other,Other
80.32,1208,1,2,2.0,4.0,Madipakkam,Other
162.0,1600,0,3,2.0,0.0,Adyar,India Builders Limited
40.02,870,1,2,2.0,3.0,Kolapakkam,Ram
42.07,1275,0,3,2.0,0.0,Thaiyur,Other
48.61,884,1,2,2.0,1.0,Other,Other
49.12,1092,0,2,2.0,0.0,Poonamallee,Other
42.28,588,0,2,1.0,0.0,Pallavaram,Radiance Realty Developers
50.21,1152,1,2,3.0,1.0,Padur,Pacifica Companies
40.75,910,0,2,2.0,0.0,Perumbakkam,BSCPL Infrastructure Ltd
162.0,1548,1,3,2.0,1.0,Adyar,Other
47.04,920,0,2,2.0,0.0,Perumbakkam,Saradeuz Realty Constructions
